Name1,Rank1,Wins1,Losses1,surfaceWins1,surfaceLosses1,bestOfWins1,bestOfLosses1,tournamentWins1,tournamentLosses1,Gap1,Length1,tbWins1,tbLoses1,deciderWins1,deciderLosses1,Odds1,Name2,Rank2,Wins2,Losses2,surfaceWins2,surfaceLosses2,bestOfWins2,bestOfLosses2,tournamentWins2,tournamentLosses2,Gap2,Length2,tbWins2,tbLoses2,deciderWins2,deciderLosses2,Odds2,h2h1,h2h2,Upset
Mannarino A.,39.0,52,62,30,37,39,50,1,0,2.0,1765.0,26,39,1,5,1.08,Bai Y.,266.0,1,1,1,1,1,1,1,0,2.0,308.0,1,0,0,0,8.0,0,0,0.0
Garcia-Lopez G.,29.0,71,66,29,31,61,54,0,0,6.0,2360.0,43,48,2,1,1.66,Rosol L.,80.0,64,74,32,43,56,62,1,0,2.0,1402.0,52,35,1,1,2.1,1,1,0.0
Cilic M.,14.0,98,48,60,24,67,39,0,0,20.0,18415.0,71,30,6,4,1.14,Millman J.,75.0,5,10,4,7,4,6,1,0,3.0,1291.0,3,3,0,3,5.5,0,0,0.0
Bedene A.,55.0,31,39,16,15,29,29,1,0,2.0,1398.0,19,21,1,0,3.0,Chung H.,58.0,8,9,6,6,7,7,1,0,2.0,1017.0,2,8,0,1,1.36,0,0,1.0
Robredo T.,30.0,101,63,44,29,77,51,4,1,2.0,1437.0,58,56,6,1,1.53,Bolelli S.,62.0,40,37,21,18,33,27,3,1,2.0,1520.0,27,21,2,3,2.37,1,1,0.0
Berdych T.,5.0,150,62,103,41,110,50,1,0,2.0,5480.0,73,61,1,2,1.18,Vesely J.,40.0,35,45,16,18,29,35,2,0,2.0,1095.0,29,34,2,2,4.5,0,0,0.0
Cilic M.,14.0,99,48,61,24,68,39,1,0,1.0,2941.0,71,30,6,4,1.44,Chung H.,58.0,9,9,7,6,8,7,2,0,1.0,1618.0,2,8,0,1,2.62,1,0,0.0
Garcia-Lopez G.,29.0,72,66,30,31,62,54,1,0,1.0,1902.0,43,48,2,1,1.66,Mannarino A.,39.0,53,62,31,37,40,50,2,0,1.0,1226.0,28,39,1,5,2.1,1,0,0.0
Berdych T.,5.0,151,62,104,41,111,50,2,0,2.0,6092.0,73,61,1,2,1.2,Robredo T.,30.0,102,63,45,29,78,51,5,1,2.0,1985.0,58,56,6,1,4.5,2,1,0.0
Cilic M.,14.0,100,48,62,24,69,39,2,0,2.0,3071.0,72,30,6,4,1.44,Garcia-Lopez G.,29.0,73,66,31,31,63,54,2,0,2.0,2330.0,43,48,2,1,2.75,0,1,1.0
Berdych T.,5.0,152,62,105,41,112,50,3,0,1.0,6260.0,73,61,1,2,1.25,Garcia-Lopez G.,29.0,74,66,32,31,64,54,3,0,1.0,3550.0,44,48,2,1,4.0,1,1,0.0
Tsonga J.W.,16.0,95,44,57,26,62,34,0,0,8.0,4300.0,61,46,4,5,1.05,Haider-Maurer A.,64.0,25,36,7,11,20,26,0,0,6.0,1535.0,18,29,3,2,11.0,0,0,1.0
Goffin D.,17.0,61,56,36,32,51,45,0,0,31.0,3640.0,30,36,1,1,1.44,Seppi A.,25.0,76,74,44,42,55,62,0,2,31.0,16295.0,55,48,9,4,2.62,0,0,0.0
Fognini F.,28.0,101,70,28,33,86,58,2,2,29.0,2830.0,55,37,2,1,2.0,Klizan M.,42.0,58,63,23,31,49,51,3,1,9.0,3685.0,44,37,2,3,1.72,3,1,0.0
Bedene A.,54.0,31,40,16,16,29,30,0,0,4.0,1618.0,19,21,1,0,1.72,Rosol L.,79.0,64,75,32,44,56,63,0,2,4.0,1902.0,52,35,1,1,2.0,0,0,1.0
Istomin D.,70.0,76,74,46,49,65,63,0,0,6.0,1402.0,55,44,1,3,1.36,Zhang Ze,219.0,0,1,0,1,0,1,0,0,6.0,1272.0,0,0,0,0,3.0,0,0,1.0
Sock J.,30.0,60,46,36,32,49,37,0,0,32.0,1770.0,42,37,0,0,1.44,Gabashvili T.,56.0,33,45,17,26,24,36,0,1,11.0,2332.0,17,21,1,1,2.62,0,0,0.0
Raonic M.,9.0,118,54,86,35,87,43,0,0,8.0,3636.0,93,67,2,2,1.16,Troicki V.,24.0,55,44,24,22,42,37,1,1,6.0,1997.0,32,31,1,2,5.0,0,0,1.0
Mannarino A.,39.0,53,63,31,38,40,51,0,0,4.0,2330.0,28,39,1,5,1.8,Lu Y.H.,100.0,55,61,43,45,48,49,0,1,36.0,1381.0,37,32,1,1,1.9,3,0,1.0
Pospisil V.,44.0,56,58,42,41,47,47,1,2,4.0,2930.0,41,55,4,3,1.18,Estrella Burgos V.,68.0,23,27,6,11,20,20,0,0,6.0,1520.0,18,18,0,0,4.5,0,0,0.0
Nadal R.,8.0,168,33,71,17,127,26,6,2,31.0,4845.0,66,37,2,2,1.02,Wu D.,230.0,0,6,0,6,0,4,0,1,7.0,1017.0,1,5,0,0,19.0,0,0,0.0
Robredo T.,29.0,102,64,45,30,78,52,1,2,2.0,6260.0,58,56,6,1,1.57,Millman J.,76.0,5,11,4,8,4,7,0,0,5.0,2941.0,3,3,0,3,2.25,0,2,1.0
Djokovic N.,1.0,195,22,133,15,123,15,10,0,23.0,23930.0,85,44,8,3,1.03,Bolelli S.,59.0,40,38,21,19,33,28,0,0,4.0,1985.0,27,21,2,3,11.0,0,0,0.0
Ferrer D.,7.0,160,58,89,35,121,47,2,1,2.0,5630.0,72,51,3,2,1.18,Bellucci T.,31.0,51,51,17,21,45,42,0,0,30.0,10030.0,38,35,1,0,4.5,3,0,0.0
Isner J.,13.0,112,61,76,37,92,50,4,2,28.0,11300.0,135,75,1,5,1.44,Thiem D.,19.0,59,46,23,25,50,38,0,0,10.0,2401.0,42,37,1,3,2.62,0,1,0.0
Berdych T.,5.0,153,62,106,41,113,50,7,2,2.0,6330.0,74,61,1,2,1.1,Cuevas P.,37.0,42,36,8,16,37,27,1,1,35.0,2230.0,28,27,1,2,7.0,0,0,1.0
Karlovic I.,18.0,83,61,47,40,74,51,0,1,5.0,2655.0,94,85,2,3,1.57,Garcia-Lopez G.,26.0,74,67,32,32,64,55,0,1,2.0,6330.0,44,49,2,1,2.25,0,0,0.0
Troicki V.,24.0,56,44,25,22,43,37,2,1,2.0,4234.0,32,31,1,2,1.61,Lu Y.H.,100.0,56,61,44,45,49,49,1,1,1.0,1589.0,37,32,1,1,2.2,0,0,1.0
Sock J.,30.0,61,46,37,32,50,37,1,0,2.0,2032.0,42,37,0,0,1.22,Haider-Maurer A.,64.0,26,36,8,11,21,26,1,0,2.0,2750.0,19,29,3,2,4.0,0,0,0.0
Ferrer D.,7.0,161,58,90,35,122,47,3,1,1.0,5150.0,72,51,3,2,1.12,Rosol L.,79.0,65,75,33,44,57,63,1,2,2.0,1469.0,53,35,1,1,6.0,3,0,0.0
Nadal R.,8.0,169,33,72,17,128,26,7,2,1.0,3986.0,66,37,2,2,1.22,Pospisil V.,44.0,57,58,43,41,48,47,2,2,1.0,1712.0,42,55,4,3,4.0,0,0,0.0
Karlovic I.,18.0,84,61,48,40,75,51,1,1,1.0,3050.0,96,85,2,3,1.36,Cuevas P.,37.0,43,36,9,16,38,27,2,1,1.0,6000.0,28,27,1,2,3.0,0,0,1.0
Goffin D.,17.0,62,56,37,32,52,45,1,0,3.0,3410.0,30,36,1,1,1.4,Fognini F.,28.0,102,70,29,33,87,58,3,2,3.0,2315.0,55,37,2,1,2.75,0,0,1.0
Djokovic N.,1.0,196,22,134,15,124,15,11,0,2.0,16435.0,85,44,8,3,1.002,Zhang Ze,219.0,1,1,1,1,1,1,1,0,3.0,936.0,0,0,0,0,41.0,0,0,0.0
Isner J.,13.0,113,61,77,37,93,50,5,2,2.0,3880.0,136,75,1,5,1.18,Millman J.,76.0,6,11,5,8,5,7,1,0,2.0,1911.0,3,3,0,3,4.5,0,0,0.0
Nadal R.,8.0,170,33,73,17,129,26,8,2,2.0,4765.0,67,37,2,2,1.4,Sock J.,30.0,62,46,38,32,51,37,2,0,2.0,1970.0,42,37,0,0,2.75,1,0,0.0
Fognini F.,28.0,103,70,30,33,88,58,4,2,1.0,3270.0,55,37,2,1,1.44,Cuevas P.,37.0,44,36,10,16,39,27,3,1,1.0,2720.0,30,27,1,2,2.62,2,1,0.0
Ferrer D.,7.0,162,58,91,35,123,47,4,1,2.0,4577.0,73,51,3,2,1.25,Lu Y.H.,100.0,57,61,45,45,50,49,2,1,2.0,2033.0,38,32,1,1,3.75,1,1,0.0
Djokovic N.,1.0,197,22,135,15,125,15,12,0,1.0,15875.0,85,44,8,3,1.08,Isner J.,13.0,114,61,78,37,94,50,6,2,1.0,2936.0,137,75,1,5,8.0,4,1,0.0
Nadal R.,8.0,171,33,74,17,130,26,9,2,1.0,4980.0,67,37,2,2,1.44,Fognini F.,28.0,104,70,31,33,89,58,5,2,1.0,2400.0,55,37,2,1,2.75,5,3,0.0
Djokovic N.,1.0,198,22,136,15,126,15,13,0,1.0,17925.0,85,44,8,3,1.07,Ferrer D.,7.0,163,58,92,35,124,47,5,1,1.0,4484.0,73,51,3,2,9.0,6,0,0.0
Djokovic N.,1.0,199,22,137,15,127,15,14,0,1.0,19590.0,85,44,8,3,1.1,Nadal R.,8.0,172,33,75,17,131,26,10,2,1.0,5070.0,68,37,2,2,7.0,7,4,0.0
Ito T.,127.0,12,23,6,14,10,18,1,2,5.0,1504.0,10,14,1,0,2.1,Nishioka Y.,148.0,3,5,3,4,2,2,0,0,32.0,1620.0,1,3,1,0,1.66,0,0,0.0
Dolgopolov O.,35.0,72,69,42,40,64,58,2,2,34.0,1958.0,48,51,0,4,1.53,Querrey S.,50.0,70,62,44,40,58,50,0,0,34.0,1887.0,56,56,1,4,2.37,0,1,1.0
Nishikori K.,6.0,131,46,88,31,102,34,7,1,35.0,7257.0,58,37,5,3,1.11,Coric B.,38.0,28,28,14,15,24,23,0,0,34.0,4831.0,18,11,2,5,6.5,0,0,0.0
Vesely J.,40.0,35,46,16,19,29,36,0,0,3.0,6092.0,29,34,2,2,1.16,Uchiyama Y.,229.0,0,1,0,1,0,1,0,0,6.0,1209.0,0,0,0,0,5.0,0,0,0.0
Chardy J.,27.0,78,74,44,41,55,63,3,2,6.0,2110.0,74,55,3,0,1.36,Groth S.,53.0,28,36,17,25,22,29,0,0,8.0,1518.0,38,34,1,0,3.0,1,0,0.0
Tomic B.,20.0,71,60,47,38,55,48,0,1,31.0,3705.0,59,55,4,2,1.66,Johnson S.,48.0,52,53,37,33,46,41,2,1,36.0,2150.0,38,44,3,3,2.1,0,2,1.0
Verdasco F.,41.0,76,65,30,33,58,53,0,0,13.0,2025.0,56,60,6,2,1.72,Baghdatis M.,49.0,43,50,32,33,33,39,0,1,5.0,1890.0,26,34,3,2,2.0,0,0,1.0
Krajicek A.,124.0,6,11,5,7,5,10,0,0,6.0,5480.0,9,8,0,0,1.83,Ebden M.,131.0,10,37,7,21,7,29,0,0,7.0,1163.0,8,18,1,1,1.83,0,0,0.0
Anderson K.,12.0,115,66,77,44,83,54,1,2,27.0,7870.0,85,62,5,4,1.53,Muller G.,43.0,32,34,23,23,27,26,1,1,11.0,3565.0,38,27,1,2,2.37,0,0,1.0
Wawrinka S.,4.0,129,53,70,32,82,43,0,1,11.0,7145.0,90,46,2,5,1.25,Stepanek R.,255.0,36,41,16,20,29,30,0,0,5.0,3862.0,19,32,2,1,3.75,1,0,0.0
Simon G.,10.0,99,65,59,39,76,54,3,1,9.0,4300.0,61,48,7,2,1.36,Youzhny M.,92.0,66,70,36,38,51,58,0,0,7.0,1398.0,37,35,4,1,3.0,1,1,0.0
Dimitrov G.,21.0,112,59,65,39,91,47,0,0,4.0,2275.0,56,59,2,3,1.4,Paire B.,32.0,61,63,29,31,47,52,0,0,14.0,1917.0,39,43,4,2,2.75,1,0,1.0
Kyrgios N.,34.0,31,24,14,13,14,14,0,0,3.0,2970.0,39,31,3,3,1.18,Ramos-Vinolas A.,71.0,14,24,5,8,13,19,0,0,35.0,6546.0,6,9,0,0,4.5,1,0,0.0
Gasquet R.,11.0,111,54,77,37,77,42,0,0,26.0,11305.0,67,46,6,4,1.53,Bautista R.,22.0,101,67,55,40,79,55,0,1,10.0,4300.0,57,38,5,1,2.37,1,1,1.0
Lopez F.,15.0,100,67,55,39,77,55,1,1,3.0,5630.0,78,56,4,1,1.4,Sousa J.,45.0,65,74,36,41,57,63,0,0,6.0,2551.0,39,37,3,6,2.75,2,0,1.0
