Name1,Rank1,Wins1,Losses1,surfaceWins1,surfaceLosses1,bestOfWins1,bestOfLosses1,tournamentWins1,tournamentLosses1,Gap1,Length1,tbWins1,tbLoses1,deciderWins1,deciderLosses1,Odds1,Name2,Rank2,Wins2,Losses2,surfaceWins2,surfaceLosses2,bestOfWins2,bestOfLosses2,tournamentWins2,tournamentLosses2,Gap2,Length2,tbWins2,tbLoses2,deciderWins2,deciderLosses2,Odds2,h2h1,h2h2,Upset
Tomic B.,32.0,105,90,72,59,80,73,2,1,25.0,2306.0,83,79,5,7,1.22,King D.,140.0,0,1,0,1,0,1,0,0,561.0,753.0,0,0,0,0,4.0,0,0,1.0
Polansky P.,125.0,3,10,2,6,3,8,0,0,28.0,1824.0,2,2,0,2,1.61,Ebden M.,490.0,11,43,7,26,8,34,0,1,5.0,1029.0,9,20,1,1,2.2,0,0,1.0
Harrison R.,62.0,34,55,32,43,29,44,2,2,27.0,3724.0,30,38,0,1,1.22,Kravchuk K.,85.0,2,9,1,7,2,6,0,0,29.0,2492.0,4,6,0,0,4.0,0,0,0.0
Darcis S.,55.0,18,27,14,17,12,16,0,0,4.0,3717.0,12,18,1,2,1.3,Albot R.,89.0,6,21,3,14,5,15,0,0,6.0,3545.0,10,8,0,2,3.4,0,0,0.0
Lu Y.H.,59.0,66,74,53,56,58,58,0,1,30.0,1169.0,44,38,1,4,1.9,Fritz T.,114.0,16,24,13,17,16,19,4,1,29.0,2043.0,9,13,0,2,1.8,0,0,1.0
Tiafoe F.,91.0,3,13,3,10,2,9,0,1,27.0,2205.0,4,11,0,7,1.5,Smyczek T.,162.0,28,46,23,35,22,37,0,1,189.0,942.0,18,26,1,1,2.5,0,0,1.0
Thompson J.,63.0,7,14,6,10,5,7,0,0,27.0,4114.0,8,7,1,3,1.57,Basilashvili N.,67.0,13,20,7,14,11,14,0,0,4.0,3395.0,13,16,1,0,2.25,1,0,1.0
Kukushkin M.,103.0,48,73,36,45,40,58,2,2,29.0,1152.0,38,42,1,5,,Becker B.,139.0,55,86,38,58,47,70,2,2,9.0,1064.0,44,46,3,1,,0,1,0.0
Darcis S.,55.0,19,27,15,17,13,16,1,0,1.0,1447.0,13,18,1,2,1.53,Dzumhur D.,86.0,30,37,15,22,23,26,2,1,1.0,1317.0,13,20,2,2,2.37,0,0,1.0
Young D.,81.0,61,68,49,50,49,54,5,2,2.0,1472.0,36,30,3,1,1.8,Opelka R.,180.0,6,6,6,5,6,5,1,0,1.0,912.0,9,7,0,7,1.9,0,1,0.0
Isner J.,23.0,152,88,108,57,121,72,1,1,29.0,2744.0,185,111,3,1,1.18,Nishioka Y.,99.0,13,20,13,17,11,13,3,1,3.0,1190.0,2,10,1,0,4.5,0,0,0.0
Querrey S.,29.0,101,90,63,59,83,73,5,2,27.0,13915.0,83,78,2,4,1.9,Harrison R.,62.0,35,55,33,43,30,44,3,2,2.0,1390.0,31,38,0,1,1.8,0,0,1.0
Johnson S.,30.0,92,87,65,58,79,70,2,2,29.0,6545.0,71,71,4,3,1.25,Smyczek T.,162.0,29,46,24,35,23,37,1,1,1.0,972.0,18,27,1,1,3.75,1,0,0.0
Kukushkin M.,103.0,49,73,37,45,41,58,3,2,1.0,996.0,38,42,1,5,1.53,King D.,140.0,1,1,1,1,1,1,1,0,2.0,1706.0,0,0,0,0,2.37,0,0,0.0
Karlovic I.,20.0,125,91,77,60,108,76,1,1,7.0,2237.0,154,128,5,3,1.5,Basilashvili N.,67.0,14,20,8,14,12,14,1,0,1.0,1458.0,13,16,1,0,2.5,2,0,1.0
Fritz T.,114.0,17,24,14,17,17,19,5,1,2.0,1293.0,11,13,0,2,1.36,Ebden M.,490.0,12,43,8,26,9,34,1,1,3.0,549.0,9,21,1,1,3.0,0,0,1.0
Johnson S.,30.0,93,87,66,58,80,70,3,2,1.0,1703.0,71,71,4,3,1.36,Kukushkin M.,103.0,50,73,38,45,42,58,4,2,1.0,994.0,38,42,1,5,3.0,2,1,1.0
Basilashvili N.,67.0,15,20,9,14,13,14,2,0,1.0,2589.0,14,16,1,0,1.44,Ebden M.,490.0,13,43,9,26,10,34,2,1,0.0,590.0,9,21,1,1,2.62,0,0,0.0
Isner J.,23.0,153,88,109,57,122,72,2,1,2.0,2310.0,185,111,3,1,1.3,Young D.,81.0,62,68,50,50,50,54,6,2,3.0,974.0,37,30,3,1,3.4,1,0,1.0
Harrison R.,62.0,36,55,34,43,31,44,4,2,2.0,2111.0,31,38,0,1,1.36,Dzumhur D.,86.0,31,37,16,22,24,26,3,1,3.0,1459.0,14,20,2,2,3.0,0,0,0.0
Basilashvili N.,67.0,16,20,10,14,14,14,3,0,1.0,791.0,15,16,1,0,1.72,Kukushkin M.,103.0,51,73,39,45,43,58,5,2,1.0,1918.0,38,42,1,5,2.1,0,0,0.0
Harrison R.,62.0,37,55,35,43,32,44,5,2,1.0,1383.0,31,38,0,1,1.5,Young D.,81.0,63,68,51,50,51,54,7,2,1.0,2371.0,39,30,3,1,2.62,1,1,0.0
Harrison R.,62.0,38,55,36,43,33,44,6,2,0.0,1402.0,31,38,0,1,1.44,Basilashvili N.,67.0,17,20,11,14,15,14,4,0,1.0,1287.0,16,16,1,0,2.62,0,0,0.0
Lopez F.,31.0,133,98,75,60,103,81,0,0,4.0,2370.0,108,84,6,1,1.57,Herbert P.H.,109.0,13,25,9,17,8,17,0,0,4.0,3285.0,15,27,1,0,2.25,1,0,1.0
Mayer F.,46.0,48,55,22,31,42,43,0,2,27.0,4098.0,25,37,2,0,2.37,Haase R.,57.0,74,92,31,50,68,75,0,3,4.0,1928.0,48,68,2,3,1.53,0,0,1.0
Granollers M.,40.0,83,100,39,52,63,83,0,2,7.0,1793.0,50,59,5,2,1.8,Donskoy E.,132.0,25,51,19,32,18,40,0,1,117.0,1973.0,19,34,2,4,1.9,0,0,1.0
Berdych T.,13.0,205,89,146,62,150,73,9,1,24.0,5040.0,106,83,3,2,1.11,Copil M.,130.0,13,20,8,9,12,18,0,0,115.0,3055.0,9,9,0,0,6.5,2,0,0.0
Istomin D.,76.0,86,96,51,61,70,80,0,3,21.0,2633.0,65,60,4,3,1.83,Bedene A.,105.0,48,66,27,31,44,51,0,0,4.0,2282.0,37,40,2,0,1.83,1,0,0.0
Pouille L.,17.0,49,45,28,28,39,33,0,0,29.0,2399.0,46,22,4,6,1.83,Kohlschreiber P.,33.0,132,96,59,53,112,80,5,3,24.0,4950.0,80,72,1,1,1.83,0,0,1.0
Simon G.,24.0,137,96,87,61,105,80,7,3,24.0,6875.0,78,68,9,5,1.33,Mahut N.,52.0,67,63,30,42,55,48,4,3,29.0,1749.0,48,46,0,6,3.25,3,0,0.0
Muller G.,28.0,78,64,56,46,70,51,3,2,4.0,3560.0,76,60,2,4,1.07,Griekspoor T.,317.0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,0,8.0,0,0,0.0
Verdasco F.,39.0,110,99,48,56,89,82,0,1,5.0,1819.0,79,81,7,3,1.57,Klizan M.,73.0,75,86,34,51,66,69,7,1,4.0,1770.0,53,49,2,4,2.25,2,0,1.0
Tsonga J.W.,14.0,144,66,95,42,94,51,1,2,3.0,4420.0,90,71,6,5,1.05,Tsitsipas S.,205.0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,0,11.0,0,0,0.0
Cilic M.,7.0,153,76,105,47,113,62,6,2,6.0,4206.0,105,60,7,5,1.33,Paire B.,42.0,97,101,55,57,78,85,0,2,3.0,2765.0,66,62,8,2,3.25,2,1,0.0
Khachanov K.,48.0,18,17,13,13,16,15,0,0,7.0,1944.0,12,14,0,0,1.57,Coric B.,61.0,51,56,29,35,45,46,1,1,7.0,1342.0,34,27,2,5,2.25,0,0,1.0
Goffin D.,11.0,118,87,78,56,94,71,0,3,3.0,5695.0,57,66,3,6,1.28,Kuznetsov An.,54.0,54,63,31,31,37,50,0,2,8.0,1985.0,35,33,3,4,3.5,0,0,0.0
Gasquet R.,19.0,158,78,112,55,115,62,2,2,3.0,3460.0,92,61,6,4,1.4,Troicki V.,38.0,99,80,62,50,77,68,2,2,5.0,3885.0,61,58,6,1,2.75,1,0,0.0
Dimitrov G.,12.0,171,89,118,61,138,72,5,3,3.0,5695.0,97,83,3,8,1.25,Zverev M.,34.0,29,31,23,23,24,29,0,0,7.0,1595.0,21,33,1,0,3.75,0,0,0.0
Thiem D.,8.0,125,79,56,49,102,66,2,2,6.0,4135.0,84,68,2,3,2.37,Zverev A.,18.0,68,47,36,25,60,40,2,2,3.0,3460.0,51,42,3,8,1.53,3,1,0.0
Herbert P.H.,109.0,14,25,10,17,9,17,1,0,2.0,1860.0,17,27,1,0,1.5,Donskoy E.,132.0,26,51,20,32,19,40,1,1,2.0,1514.0,19,34,2,4,2.5,0,0,0.0
Kohlschreiber P.,33.0,133,96,60,53,113,80,6,3,1.0,3401.0,81,72,1,1,1.57,Klizan M.,73.0,76,86,35,51,67,69,8,1,1.0,1755.0,53,49,2,4,2.25,1,0,1.0
Tsonga J.W.,14.0,145,66,96,42,95,51,2,2,1.0,2998.0,91,71,6,5,1.4,Muller G.,28.0,79,64,57,46,71,51,4,2,1.0,1526.0,76,60,2,4,2.75,2,0,0.0
Berdych T.,13.0,206,89,147,62,151,73,10,1,3.0,3237.0,107,83,3,2,1.66,Gasquet R.,19.0,159,78,113,55,116,62,3,2,1.0,2950.0,92,61,6,4,2.1,6,2,0.0
Cilic M.,7.0,154,76,106,47,114,62,7,2,2.0,4510.0,105,61,7,5,1.22,Coric B.,61.0,52,56,30,35,46,46,2,1,2.0,1654.0,36,27,2,5,4.0,2,0,0.0
Goffin D.,11.0,119,87,79,56,95,71,1,3,1.0,3870.0,57,66,3,6,1.18,Haase R.,57.0,75,92,32,50,69,75,1,3,3.0,1721.0,50,68,2,3,4.5,2,0,0.0
Dimitrov G.,12.0,172,89,119,61,139,72,6,3,1.0,4163.0,97,84,3,8,1.18,Istomin D.,76.0,87,96,52,61,71,80,1,3,3.0,1235.0,66,60,4,3,4.5,2,0,0.0
Thiem D.,8.0,126,79,57,49,103,66,3,2,1.0,5300.0,84,68,2,3,1.53,Simon G.,24.0,138,96,88,61,106,80,8,3,2.0,2320.0,78,68,9,5,2.37,3,2,0.0
Berdych T.,13.0,207,89,148,62,152,73,11,1,1.0,4665.0,108,83,3,2,1.2,Klizan M.,73.0,77,86,36,51,68,69,9,1,2.0,1955.0,53,50,2,4,4.33,3,0,0.0
Cilic M.,7.0,155,76,107,47,115,62,8,2,1.0,4220.0,105,61,7,5,2.25,Tsonga J.W.,14.0,146,66,97,42,96,51,3,2,2.0,4100.0,91,71,6,5,1.57,4,0,1.0
Goffin D.,11.0,120,87,80,56,96,71,2,3,1.0,3843.0,57,67,3,6,2.75,Dimitrov G.,12.0,173,89,120,61,140,72,7,3,1.0,3593.0,98,84,3,8,1.4,0,3,0.0
Thiem D.,8.0,127,79,58,49,104,66,4,2,1.0,4875.0,85,68,2,3,1.18,Herbert P.H.,109.0,15,25,11,17,10,17,2,0,2.0,976.0,18,27,1,0,4.5,0,0,1.0
Berdych T.,13.0,208,89,149,62,153,73,12,1,1.0,3475.0,108,83,3,2,1.72,Tsonga J.W.,14.0,147,66,98,42,97,51,4,2,1.0,6200.0,93,71,6,5,2.1,4,2,1.0
Goffin D.,11.0,121,87,81,56,97,71,3,3,1.0,5960.0,57,67,3,6,1.25,Herbert P.H.,109.0,16,25,12,17,11,17,3,0,1.0,3935.0,19,27,1,0,4.0,0,0,0.0
Goffin D.,11.0,122,87,82,56,98,71,4,3,1.0,3565.0,57,67,3,6,2.2,Tsonga J.W.,14.0,148,66,99,42,98,51,5,2,1.0,5520.0,93,71,6,5,1.66,2,3,1.0
Edmund K.,49.0,24,34,16,19,18,24,0,0,32.0,2359.0,22,25,1,1,1.72,Mannarino A.,60.0,80,100,46,65,65,83,6,3,7.0,1472.0,42,66,1,5,2.0,0,1,0.0
Querrey S.,35.0,101,91,63,60,83,74,5,2,4.0,2111.0,83,78,2,4,1.44,Sela D.,74.0,40,54,27,33,32,39,1,3,12.0,878.0,26,29,2,3,2.62,1,1,0.0
Nishioka Y.,91.0,13,21,13,18,11,14,2,1,4.0,2310.0,2,10,1,0,1.5,Coppejans K.,204.0,0,4,0,0,0,3,0,0,573.0,1579.0,0,3,0,0,2.5,0,0,0.0
Lu Y.H.,63.0,66,75,53,57,58,59,2,2,5.0,1293.0,44,40,1,4,1.36,Fratangelo B.,109.0,6,12,5,10,5,6,0,0,35.0,793.0,4,4,0,1,3.0,0,0,0.0
Fritz T.,112.0,17,25,14,18,17,20,0,1,4.0,590.0,11,13,0,2,1.4,Santillan A.,193.0,0,2,0,1,0,2,0,0,147.0,913.0,0,1,0,0,2.75,0,0,0.0
Brown D.,84.0,42,49,18,25,36,38,0,1,11.0,1686.0,33,39,2,4,1.61,Garcia-Lopez G.,99.0,99,108,44,60,86,91,0,0,8.0,1190.0,66,73,2,1,2.2,2,1,1.0
Dzumhur D.,79.0,31,38,16,23,24,27,1,1,3.0,1383.0,14,20,2,2,1.53,Kravchuk K.,95.0,2,10,1,8,2,7,0,0,7.0,1390.0,4,7,0,0,2.37,0,0,0.0
Sock J.,21.0,112,70,78,50,91,56,0,1,32.0,4315.0,73,64,3,1,1.1,Albot R.,89.0,6,22,3,15,5,16,0,1,7.0,1447.0,10,9,0,2,7.0,0,0,0.0
Tomic B.,31.0,105,91,72,60,80,74,3,2,7.0,1706.0,83,79,5,7,1.8,Darcis S.,57.0,19,28,15,18,13,17,0,0,6.0,1459.0,13,19,1,2,1.9,0,0,1.0
Coric B.,59.0,52,57,30,36,46,47,0,0,5.0,4220.0,36,27,2,5,1.33,Giraldo S.,103.0,72,93,21,44,64,77,0,0,13.0,1176.0,44,50,2,5,3.25,1,0,0.0
Raonic M.,4.0,178,77,126,52,128,61,0,0,27.0,8485.0,135,90,5,5,1.08,Smyczek T.,164.0,29,47,24,36,23,38,3,3,5.0,1703.0,18,27,1,1,8.0,1,0,0.0
Kukushkin M.,78.0,51,74,39,46,43,59,0,3,3.0,1287.0,38,43,1,5,2.2,Donaldson J.,100.0,12,22,11,19,10,18,0,0,7.0,912.0,8,16,0,4,1.61,0,0,1.0
Johnson S.,26.0,93,88,66,59,80,71,6,3,4.0,1918.0,71,71,4,3,1.25,Kozlov S.,115.0,3,6,0,3,3,6,0,1,223.0,1109.0,1,2,0,0,3.75,0,1,0.0
Karlovic I.,20.0,125,92,77,61,108,77,6,2,5.0,2589.0,154,129,5,3,1.53,Young D.,69.0,63,69,51,51,51,55,5,2,2.0,1402.0,39,30,3,1,2.37,2,0,1.0
Basilashvili N.,53.0,17,21,11,15,15,15,0,0,2.0,1460.0,16,16,1,0,1.36,Haas T.,1024.0,63,45,35,27,53,36,1,1,35.0,,38,28,1,3,3.0,0,0,0.0
Del Potro J.M.,42.0,85,32,68,23,70,26,3,1,117.0,5670.0,50,32,0,2,1.22,Anderson K.,75.0,139,93,97,64,105,77,5,3,8.0,1317.0,113,86,5,4,4.0,1,0,0.0
Sock J.,21.0,113,70,79,50,92,56,1,1,2.0,2478.0,74,64,3,1,1.11,Garcia-Lopez G.,99.0,100,108,45,60,87,91,1,0,2.0,1246.0,66,73,2,1,6.5,1,0,0.0
Johnson S.,26.0,94,88,67,59,81,71,7,3,2.0,1866.0,71,71,4,3,1.33,Nishioka Y.,91.0,14,21,14,18,12,14,3,1,3.0,878.0,2,10,1,0,3.25,0,0,0.0
Edmund K.,49.0,25,34,17,19,19,24,1,0,3.0,1689.0,22,25,1,1,1.57,Lu Y.H.,63.0,67,75,54,57,59,59,3,2,3.0,1307.0,45,40,1,4,2.25,0,0,0.0
Raonic M.,4.0,179,77,127,52,129,61,1,0,2.0,5275.0,135,90,5,5,1.11,Coric B.,59.0,53,57,31,36,47,47,1,0,2.0,1362.0,36,27,2,5,6.5,0,0,0.0
Basilashvili N.,53.0,18,21,12,15,16,15,1,0,2.0,868.0,17,17,1,0,2.25,Darcis S.,57.0,20,28,16,18,14,17,1,0,2.0,2127.0,13,19,1,2,1.57,0,0,1.0
Querrey S.,35.0,102,91,64,60,84,74,6,2,3.0,1821.0,83,78,2,4,1.4,Donaldson J.,100.0,13,22,12,19,11,18,1,0,2.0,1257.0,9,16,0,4,2.75,1,0,0.0
Young D.,69.0,64,69,52,51,52,55,6,2,2.0,2601.0,41,30,3,1,1.66,Fritz T.,112.0,18,25,15,18,18,20,1,1,2.0,805.0,11,13,0,2,2.1,0,0,0.0
Del Potro J.M.,42.0,86,32,69,23,71,26,4,1,2.0,1700.0,50,32,0,2,1.11,Dzumhur D.,79.0,32,38,17,23,25,27,2,1,3.0,1266.0,14,20,2,2,6.5,0,0,0.0
Darcis S.,57.0,21,28,17,18,15,17,2,0,1.0,1700.0,14,19,1,2,1.66,Young D.,69.0,65,69,53,51,53,55,7,2,1.0,1242.0,41,30,3,1,2.1,0,0,1.0
Sock J.,21.0,114,70,80,50,93,56,2,1,1.0,2450.0,74,64,3,1,1.4,Johnson S.,26.0,95,88,68,59,82,71,8,3,1.0,1979.0,71,71,4,3,2.75,2,1,0.0
Raonic M.,4.0,180,77,128,52,130,61,2,0,1.0,5725.0,136,90,5,5,1.16,Edmund K.,49.0,26,34,18,19,20,24,2,0,1.0,1678.0,22,25,1,1,5.0,0,0,0.0
Querrey S.,35.0,103,91,65,60,85,74,7,2,2.0,1729.0,83,78,2,4,3.4,Del Potro J.M.,42.0,87,32,70,23,72,26,5,1,1.0,1682.0,51,32,0,2,1.3,1,0,1.0
Sock J.,21.0,115,70,81,50,94,56,3,1,1.0,3225.0,75,64,3,1,1.16,Young D.,69.0,66,69,54,51,54,55,8,2,1.0,1568.0,41,30,3,1,5.0,2,0,0.0
Raonic M.,4.0,181,77,129,52,131,61,3,0,2.0,5828.0,136,90,5,5,1.61,Del Potro J.M.,42.0,88,32,71,23,73,26,6,1,1.0,2155.0,53,32,0,2,2.3,1,1,0.0
Raonic M.,4.0,182,77,130,52,132,61,4,0,0.0,5950.0,137,90,5,5,1.4,Sock J.,21.0,116,70,82,50,95,56,4,1,1.0,2581.0,76,64,3,1,3.0,8,2,1.0
Youzhny M.,87.0,86,95,48,54,68,79,0,0,11.0,1997.0,51,44,4,3,1.57,Tsitsipas S.,205.0,0,1,0,1,0,1,0,0,6.0,2998.0,0,1,0,0,2.25,0,0,0.0
Jaziri M.,47.0,39,57,27,41,34,47,0,0,11.0,2629.0,31,37,1,2,2.5,Kuznetsov An.,61.0,54,64,31,32,37,51,3,2,5.0,3870.0,35,33,3,4,1.5,0,1,0.0
Simon G.,23.0,138,97,88,62,106,81,8,2,4.0,4875.0,78,69,9,5,1.36,Khachanov K.,48.0,18,18,13,14,16,16,0,0,6.0,1654.0,12,16,0,0,3.0,0,0,0.0
Struff J.L.,62.0,34,62,21,28,31,48,4,2,35.0,4211.0,26,45,1,3,1.72,Chardy J.,77.0,104,104,62,62,75,88,2,1,11.0,2440.0,88,79,5,4,2.0,1,1,0.0
Marchenko I.,93.0,20,37,16,23,15,27,0,0,12.0,981.0,19,34,0,1,2.2,Rublev A.,111.0,9,18,6,11,8,16,0,0,34.0,12943.0,4,9,0,0,1.61,0,0,0.0
Mathieu P.H.,101.0,43,71,18,35,39,56,0,1,12.0,1273.0,33,37,2,1,2.5,Bedene A.,102.0,48,67,27,32,44,52,0,0,8.0,1235.0,37,41,2,0,1.5,1,1,1.0
Donskoy E.,117.0,26,52,20,33,19,41,0,0,6.0,976.0,19,35,2,4,1.66,Gombos N.,128.0,0,4,0,3,0,4,0,0,483.0,1971.0,0,0,0,0,2.1,0,0,1.0
Benneteau J.,120.0,60,67,50,49,51,54,2,3,13.0,1783.0,34,46,2,1,1.2,Shapovalov D.,255.0,1,2,1,2,1,2,0,0,208.0,1271.0,1,1,0,0,4.33,0,0,0.0
Vesely J.,55.0,61,74,28,38,51,59,0,0,35.0,4498.0,51,56,3,3,1.72,Stakhovsky S.,107.0,51,72,30,45,41,57,5,4,174.0,4146.0,32,50,2,1,2.0,0,0,1.0
Gasquet R.,19.0,159,79,113,56,116,63,3,3,5.0,4665.0,92,62,6,4,1.2,Haase R.,58.0,75,93,32,51,69,76,1,3,5.0,3843.0,51,68,2,3,4.33,1,1,0.0
Zverev A.,18.0,68,48,36,26,60,41,1,2,6.0,5300.0,51,42,3,8,1.22,Mahut N.,54.0,67,64,30,43,55,49,2,3,7.0,2320.0,48,46,0,6,4.0,0,0,1.0
Paire B.,41.0,97,102,55,58,78,86,4,3,8.0,4510.0,67,62,8,2,2.0,Medvedev D.,64.0,11,8,9,5,11,7,0,0,12.0,3434.0,4,9,0,0,1.72,0,0,1.0
Simon G.,23.0,139,97,89,62,107,81,9,2,2.0,2399.0,79,69,9,5,1.33,Benneteau J.,120.0,61,67,51,49,52,54,3,3,1.0,687.0,35,46,2,1,3.25,2,2,0.0
Gasquet R.,19.0,160,79,114,56,117,63,4,3,1.0,2708.0,92,63,6,4,1.14,Youzhny M.,87.0,87,95,49,54,69,79,1,0,2.0,899.0,52,44,4,3,5.5,2,1,0.0
Kyrgios N.,16.0,74,43,45,26,47,28,5,0,35.0,3095.0,65,48,4,5,1.18,Jaziri M.,47.0,40,57,28,41,35,47,1,0,2.0,1698.0,31,37,1,2,4.5,1,0,0.0
Pouille L.,17.0,49,46,28,29,39,34,0,2,8.0,3401.0,46,23,4,6,1.5,Bedene A.,102.0,49,67,28,32,45,52,1,0,1.0,1155.0,37,41,2,0,2.5,0,0,0.0
Struff J.L.,62.0,35,62,22,28,32,48,5,2,2.0,1456.0,27,45,1,3,2.0,Medvedev D.,64.0,12,8,10,5,12,7,1,0,1.0,1819.0,6,10,0,0,1.72,0,1,1.0
Mahut N.,54.0,68,64,31,43,56,49,3,3,2.0,2745.0,50,46,0,6,1.36,Gombos N.,128.0,1,4,1,3,1,4,1,0,2.0,946.0,0,0,0,0,3.0,0,0,1.0
Tsonga J.W.,11.0,149,66,100,42,99,51,7,1,4.0,5765.0,93,71,6,5,1.08,Marchenko I.,93.0,21,37,17,23,16,27,1,0,2.0,1122.0,20,34,0,1,8.0,0,0,0.0
Monfils G.,12.0,141,73,91,46,107,59,4,2,31.0,6820.0,88,50,6,1,1.16,Stakhovsky S.,107.0,52,72,31,45,42,57,6,4,2.0,1383.0,32,50,2,1,5.0,1,0,0.0
Kyrgios N.,16.0,75,43,46,26,48,28,6,0,2.0,3073.0,65,48,4,5,1.1,Gombos N.,128.0,2,4,2,3,2,4,2,0,1.0,1305.0,2,0,0,0,7.0,0,0,0.0
Tsonga J.W.,11.0,150,66,101,42,100,51,8,1,1.0,3834.0,93,71,6,5,1.36,Simon G.,23.0,140,97,90,62,108,81,10,2,2.0,1977.0,79,69,9,5,3.0,3,1,0.0
Pouille L.,17.0,50,46,29,29,40,34,1,2,2.0,2708.0,48,23,4,6,1.44,Medvedev D.,64.0,13,8,11,5,13,7,2,0,1.0,1565.0,7,10,0,0,2.62,0,0,0.0
Monfils G.,12.0,142,73,92,46,108,59,5,2,1.0,3680.0,88,50,6,1,1.53,Gasquet R.,19.0,161,79,115,56,118,63,5,3,2.0,2506.0,93,63,6,4,2.37,3,2,1.0
Tsonga J.W.,11.0,151,66,102,42,101,51,9,1,1.0,4725.0,93,71,6,5,1.8,Kyrgios N.,16.0,76,43,47,26,49,28,7,0,1.0,2620.0,65,48,4,5,2.0,0,0,0.0
Pouille L.,17.0,51,46,30,29,41,34,2,2,1.0,2910.0,48,23,4,6,2.75,Gasquet R.,19.0,162,79,116,56,119,63,6,3,1.0,5020.0,93,64,6,4,1.44,1,1,0.0
Tsonga J.W.,11.0,152,66,103,42,102,51,10,1,1.0,5395.0,94,71,6,5,1.33,Pouille L.,17.0,52,46,31,29,42,34,3,2,1.0,4006.0,49,23,4,6,3.4,1,0,0.0
Bagnis F.,82.0,10,22,10,15,8,15,1,2,5.0,1557.0,8,15,1,0,2.1,Lajovic D.,97.0,49,66,32,30,40,54,1,3,33.0,3132.0,34,42,1,3,1.66,0,0,1.0
Ruud C.,208.0,0,2,0,0,0,2,0,0,48.0,901.0,0,2,0,0,3.0,Dutra Silva R.,439.0,5,21,2,13,3,14,0,0,6.0,558.0,8,7,2,3,1.36,0,0,0.0
Schwartzman D.,51.0,34,50,19,28,30,39,1,2,4.0,5515.0,22,30,0,2,1.2,Olivo R.,92.0,15,15,13,11,14,13,0,0,6.0,1023.0,16,9,1,3,4.33,0,0,0.0
Kicker N.,123.0,2,3,2,3,2,3,0,0,11.0,942.0,0,3,0,0,1.83,Cecchinato M.,194.0,2,18,2,14,2,15,0,2,274.0,2333.0,3,8,0,0,1.83,0,0,0.0
Cuevas P.,30.0,81,66,54,25,72,52,8,2,4.0,2460.0,57,55,2,2,1.16,De Greef A.,138.0,2,2,1,1,2,2,0,0,47.0,1014.0,2,1,0,0,5.0,0,0,1.0
Sousa J.,39.0,101,112,36,37,86,97,2,1,4.0,5680.0,62,55,4,4,1.33,Carballes Baena R.,132.0,12,16,12,15,12,15,0,0,11.0,1762.0,8,8,0,1,3.25,0,1,1.0
Monteiro T.,85.0,8,11,8,6,8,10,1,1,3.0,1313.0,5,4,0,0,1.66,Elias G.,86.0,17,27,14,15,17,21,0,1,8.0,1057.0,7,11,0,2,2.1,0,0,0.0
Fognini F.,45.0,131,99,79,43,113,82,7,3,6.0,1042.0,72,53,4,3,1.44,Robredo T.,471.0,105,73,52,31,80,60,3,2,4.0,707.0,63,61,7,1,2.62,3,2,0.0
Ramos-Vinolas A.,25.0,55,62,31,29,46,52,1,2,4.0,2850.0,31,42,3,5,1.16,Robert S.,80.0,22,38,8,13,14,26,0,0,7.0,1670.0,22,26,1,1,5.0,1,0,0.0
Lorenzi P.,40.0,59,85,37,41,54,69,1,2,6.0,1657.0,32,43,1,2,2.62,Delbonis F.,52.0,72,77,55,36,67,63,5,3,6.0,1985.0,55,53,2,2,1.44,0,3,1.0
Carreno Busta P.,24.0,38,21,16,9,33,17,0,0,3.0,2165.0,22,16,2,4,1.12,Souza J.,131.0,9,26,8,21,9,22,2,3,13.0,771.0,8,14,0,0,6.0,0,0,0.0
Berlocq C.,66.0,58,58,43,32,52,45,0,1,3.0,5293.0,32,29,2,5,1.53,Zeballos H.,73.0,31,54,18,28,29,44,0,1,6.0,1757.0,22,36,1,4,2.37,1,2,1.0
Nishikori K.,5.0,198,74,48,14,151,57,0,0,2.0,5340.0,94,58,8,7,1.25,Bellucci T.,76.0,68,80,43,40,60,66,2,3,10.0,948.0,50,53,2,0,3.75,1,0,1.0
Ferrer D.,29.0,207,90,81,27,156,74,10,2,5.0,2068.0,92,78,4,2,1.61,Dolgopolov O.,50.0,96,96,27,26,85,81,6,2,2.0,5340.0,67,62,0,4,2.2,4,2,1.0
Estrella Burgos V.,94.0,42,47,29,16,37,35,0,0,6.0,1249.0,35,31,0,0,2.2,Pella G.,162.0,25,44,17,22,21,34,4,1,7.0,2050.0,25,40,2,5,1.61,1,0,0.0
Thiem D.,8.0,127,80,59,22,104,67,3,1,5.0,3935.0,85,69,2,3,1.25,Tipsarevic J.,96.0,30,42,9,16,21,33,0,0,8.0,1318.0,17,34,3,2,3.75,0,0,0.0
Kicker N.,123.0,3,3,3,3,3,3,1,0,2.0,760.0,1,3,0,0,1.61,De Greef A.,138.0,3,2,2,1,3,2,1,0,2.0,1711.0,3,1,0,0,2.2,0,0,0.0
Schwartzman D.,51.0,35,50,20,28,31,39,2,2,2.0,1470.0,22,30,0,2,2.1,Delbonis F.,52.0,73,77,56,36,68,63,6,3,1.0,1912.0,55,53,2,2,1.66,1,2,0.0
