Predicted prob,Predicted variance,Odds1,Odds2,Result
0.4403212,0.4403212,1.14,5.5,0.0
0.38353822,0.38353822,1.18,4.5,1.0
0.36919132,0.36919132,2.62,1.44,1.0
0.38325536,0.38325536,1.33,3.25,0.0
0.42067826,0.42067826,1.4,2.75,1.0
0.40338036,0.40338036,1.61,2.2,1.0
0.2984682,0.2984682,2.3,1.61,0.0
0.38220763,0.38220763,2.2,1.66,0.0
0.085821316,0.085821316,1.2,4.5,1.0
0.34569663,0.34569663,1.36,3.2,1.0
0.30299965,0.30299965,1.4,3.0,0.0
0.27814564,0.27814564,1.33,3.4,0.0
0.2495124,0.2495124,1.3,3.5,1.0
0.389468,0.389468,1.4,3.0,0.0
0.34941527,0.34941527,1.28,3.75,1.0
0.40811986,0.40811986,1.61,2.3,0.0
0.24494877,0.24494877,1.3,3.5,0.0
0.16479425,0.16479425,1.2,4.5,0.0
0.3235248,0.3235248,1.8,2.0,1.0
0.21508223,0.21508223,1.16,5.0,0.0
0.36746794,0.36746794,1.72,2.1,1.0
0.3848256,0.3848256,1.66,2.1,0.0
0.30637845,0.30637845,1.83,1.83,1.0
0.10886337,0.10886337,1.36,3.0,0.0
0.20970379,0.20970379,2.25,1.57,0.0
0.3686267,0.3686267,2.37,1.53,1.0
0.3029632,0.3029632,1.57,2.25,0.0
0.416687,0.416687,1.36,3.0,0.0
0.4653712,0.4653712,1.83,1.83,1.0
0.42332593,0.42332593,1.14,5.5,0.0
0.4250421,0.4250421,1.44,2.62,1.0
0.1747024,0.1747024,1.61,2.2,1.0
0.3874695,0.3874695,1.5,2.5,0.0
0.4199149,0.4199149,1.14,5.5,0.0
0.08316298,0.08316298,1.25,3.75,0.0
0.3350033,0.3350033,1.53,2.37,1.0
0.07756872,0.07756872,1.44,2.62,0.0
0.09634036,0.09634036,1.66,2.1,1.0
0.13888614,0.13888614,1.18,4.5,0.0
0.39911893,0.39911893,1.16,5.0,0.0
0.36854428,0.36854428,1.61,2.2,0.0
0.3191838,0.3191838,1.4,2.75,1.0
0.32485157,0.32485157,1.36,3.0,0.0
0.36858997,0.36858997,1.72,2.0,1.0
0.4231236,0.4231236,1.72,2.0,1.0
0.26841614,0.26841614,2.62,1.44,0.0
0.49029443,0.49029443,1.28,3.5,0.0
0.2996287,0.2996287,1.72,2.0,0.0
0.069049895,0.069049895,1.28,3.5,0.0
0.30866668,0.30866668,1.4,2.75,1.0
0.43661654,0.43661654,1.08,8.0,0.0
0.37763226,0.37763226,1.33,3.25,0.0
0.14297327,0.14297327,1.61,2.2,0.0
0.40808883,0.40808883,1.33,3.25,1.0
0.4289557,0.4289557,1.53,2.37,0.0
0.32143092,0.32143092,1.4,2.75,1.0
0.39769697,0.39769697,1.33,3.25,0.0
0.3771386,0.3771386,2.25,1.57,0.0
0.396148,0.396148,1.57,2.25,1.0
0.23420174,0.23420174,1.4,2.75,1.0
0.42521527,0.42521527,1.61,2.2,0.0
0.26943234,0.26943234,1.9,1.9,0.0
0.37932578,0.37932578,1.16,5.0,0.0
0.19221953,0.19221953,1.44,2.75,0.0
0.39016882,0.39016882,1.72,2.1,0.0
0.075619645,0.075619645,1.8,2.0,0.0
0.1263288,0.1263288,1.08,8.0,0.0
0.27463272,0.27463272,1.28,3.75,0.0
0.20991033,0.20991033,2.2,1.66,0.0
0.20368537,0.20368537,2.3,1.61,1.0
0.111631535,0.111631535,1.8,2.0,1.0
0.049321793,0.049321793,1.12,6.0,0.0
0.28086472,0.28086472,1.53,2.5,1.0
0.28751788,0.28751788,2.62,1.5,1.0
